ds,y,is_spike,yhat
2020-06-01,1406,False,
2020-07-01,1252,False,
2020-08-01,946,False,
2020-09-01,1485,False,
2020-10-01,1279,False,
2020-11-01,1495,False,
2020-12-01,470,False,
2021-01-01,1152,False,
2021-02-01,1248,False,
2021-03-01,1274,False,
2021-04-01,1076,False,
2021-05-01,1179,False,
2021-06-01,1186,False,
2021-07-01,1226,False,
2021-08-01,1794,False,
2021-09-01,1313,False,
2021-10-01,1683,False,
2021-11-01,1203,False,
2021-12-01,1569,False,
2022-01-01,1900,False,
2022-02-01,2073,False,
2022-03-01,1054,False,
2022-04-01,2287,False,
2022-05-01,1335,False,
2022-06-01,1968,False,
2022-07-01,1889,False,
2022-08-01,1682,False,
2022-09-01,2132,False,
2022-10-01,3230,True,
2022-11-01,2357,False,
2022-12-01,2258,False,
2023-01-01,2289,False,
2023-02-01,2262,False,
2023-03-01,1695,False,
2023-04-01,1774,False,
2023-05-01,1960,False,
2023-06-01,1574,False,
2023-07-01,2241,False,
2023-08-01,1525,False,
2023-09-01,1294,False,
2023-10-01,1627,False,
2023-11-01,910,False,
2023-12-01,1778,False,
2024-01-01,2038,False,
2024-02-01,2739,False,
2024-03-01,1606,False,
2024-04-01,1829,False,
2024-05-01,1802,False,
2024-06-01,1534,False,1493.5833333333335
2024-07-01,3491,True,1493.5833333333335
2024-08-01,858,False,1493.5833333333335
2024-09-01,1999,False,1493.5833333333335
2024-10-01,1297,False,1493.5833333333335
2024-11-01,1037,False,1493.5833333333335
2024-12-01,1069,False,1493.5833333333335
2025-01-01,945,False,1493.5833333333335
2025-02-01,1592,False,1493.5833333333335
2025-03-01,726,False,1493.5833333333335
2025-04-01,1598,False,1493.5833333333335
2025-05-01,1337,False,1493.5833333333335
